TF,TFCommon,Bound Size,DE Size,Intersection,FDR Lower Bound,HypergeometricPVal,Response Rate,Relative Risk,Fold Enrichment,Jaccard Similarity,Genes
YIR017C,MET28,41,439,5,0.5387090274046211,0.21715380720924349,0.12195121951219512,0.63901585330621624,1.5509194955275294,0.010526315789473684,"['APC5', 'ENP2', 'HAM1', 'IZH3', 'MSF1']"
YIR018W,YAP5,1,5583,1,1,1,0,0,0,0,['YRF1-6']
YIR023W,DAL81,140,306,13,0.49403494812549087,0.042376381143599193,0.09285714285714286,0.78658616749897192,1.694187675070028,0.03002309468822171,"['ASN1', 'COQ3', 'GID8', 'HMLALPHA2', 'IPT1', 'NAT4', 'RFM1', 'RRP3', 'TRS31', 'UTH1', 'YDR114C', 'YEL008W', 'YGR026W']"
YJL056C,ZAP1,294,540,35,0.6355342109976715,0.11144881101473403,0.11904761904761904,0.31825035451078254,1.2308201058201058,0.04380475594493116,"['ALD2', 'CBP6', 'CNS1', 'COS1', 'CTK2', 'CYB5', 'DFG10', 'FEN2', 'FRD1', 'HMLALPHA1', 'IME4', 'MATALPHA1', 'MCD4', 'MRI1', 'MTC5', 'MTQ2', 'NAT3', 'NOT5', 'RPL1b', 'RPL35a', 'RPS22a', 'RPS24a', 'RPS9b', 'SLY1', 'SPC2', 'SPL2', 'SRP101', 'TIM10', 'TIM54', 'UGO1', 'UPS3', 'VPS74', 'YBL113C', 'YRF1-6', 'YVC1']"
YJL089W,SIP4,302,177,13,0.63288709544083,0.16057833325626431,0.04304635761589404,0.47107840026936798,1.3577842631047257,0.027896995708154508,"['APL1', 'DPP1', 'HOS4', 'LYS4', 'NEO1', 'PDB1', 'POF1', 'SCC2', 'SGE1', 'SMI1', 'TES1', 'TMA16', 'YBR063C']"
YJL110C,GZF3,211,318,24,0.38903815153143473,0.00081978360401804774,0.11374407582938388,1.0554345566050489,1.9969596709290887,0.047524752475247525,"['BET4', 'CWH43', 'DSS1', 'ECO1', 'ENT3', 'FLO1', 'GAA1', 'GAB1', 'GPM3', 'IPK1', 'MSH1', 'OMS1', 'ORC2', 'RMT2', 'SDS3', 'SRP68', 'SUM1', 'TIF1', 'TMA46', 'TPP1', 'VBA1', 'VPS73', 'YBT1', 'YDR282C']"
YJL127C,SPT10,1,5583,1,1,1,0,0,0,0,['CKA1']
YJL206C,YJL206C,2,5583,2,1,1,0,0,0,0,"['FDH1', 'YOR389W']"
YJR060W,CBF1,175,484,19,0.6562479378187543,0.17983538693652215,0.10857142857142857,0.33650893189804726,1.2523848878394332,0.0296875,"['ABZ1', 'ASP3-3', 'AZR1', 'BOR1', 'CAP1', 'CDC39', 'CWC23', 'DAP1', 'FLC2', 'HSV2', 'IBA57', 'LAC1', 'PFK27', 'PKP1', 'SCS3', 'SDS22', 'SPT6', 'STM1', 'TES1']"
YJR094C,IME1,153,388,11,0.848587636168238,0.49943704585450155,0.0718954248366013,0.050359545367704782,1.0345158682029512,0.020754716981132074,"['ARC15', 'AUA1', 'EDS1', 'MSR1', 'RTT102', 'SEA4', 'TAF9', 'UBP11', 'YLR177W', 'YMC2', 'YPL191C']"
YJR127C,ZMS1,3,5583,3,1,1,0,0,0,0,"['AIM5', 'TSC10', 'YPT10']"
YJR140C,HIR3,1,5583,1,1,1,0,0,0,0,['ERG26']
YJR147W,HMS2,10,523,4,0.11597707325810497,0.010102426263157391,0.4,2.1027196148328624,4.26998087954111,0.007561436672967864,"['BIR1', 'MGA1', 'TIR1', 'UTH1']"
YKL005C,BYE1,54,412,7,0.4669036744197948,0.10000499793540849,0.12962962962962962,0.8234921784740179,1.7566073354908307,0.015250544662309368,"['ARH1', 'ARO7', 'ARR2', 'ASA1', 'HPR1', 'SUA7', 'TIF11']"
YKL015W,PUT3,69,449,6,0.8105633172129679,0.48392232627169562,0.08695652173913043,0.11415870739815948,1.0812433426939092,0.01171875,"['OM14', 'RNH203', 'RPL31b', 'SPO19', 'TSC13', 'YIR007W']"
YKL020C,SPT23,6,220,2,0.06817571198280495,0.020877969327924788,0.3333333333333333,3.0921267301425552,8.459090909090909,0.008928571428571428,"['ERG26', 'MAK32']"
YKL032C,IXR1,1,5583,1,1,1,0,0,0,0,['RPL23a']
YKL038W,RGT1,324,142,10,0.7225371663979939,0.30929418963868588,0.030864197530864196,0.29825675412497837,1.2134846113719353,0.021929824561403508,"['CNN1', 'GPI1', 'IDP1', 'ISA1', 'MAG1', 'PEX7', 'PGM1', 'SLM3', 'SUM1', 'YPR078C']"
YKL043W,PHD1,346,414,30,0.693475729894322,0.2051645465949497,0.08670520231213873,0.24182475669998857,1.1692636340789142,0.0410958904109589,"['ATG14', 'BPH1', 'CIS3', 'FMS1', 'IPI3', 'IVY1', 'LEU3', 'LSM5', 'MIT1', 'MMS22', 'PHO8', 'PRM1', 'PSO2', 'PTC5', 'RPL26a', 'RPS22a', 'SAY1', 'SLD2', 'SWI6', 'USV1', 'YEL076C', 'YEL077C', 'YLR179C', 'YLR278C', 'YLR283W', 'YLR462W', 'YML131W', 'YPK9', 'YRF1-4', 'ZRC1']"
YKL062W,MSN4,28,177,3,0.25083960236432024,0.057454458842466319,0.10714285714285714,1.7742352790912779,3.37953995157385,0.01485148514851485,"['DFR1', 'HSP26', 'YBR074W']"
YKL072W,STB6,235,198,10,0.7392754791330826,0.32203611629422152,0.0425531914893617,0.27560604673807809,1.1998710509348807,0.02364066193853428,"['ASE1', 'CTF4', 'DBF20', 'DLT1', 'DPB2', 'FAL1', 'IDP3', 'IRC22', 'PGM3', 'VPS4']"
YKL109W,HAP4,39,136,5,0.15222326706072004,0.0023572460009422978,0.1282051282051282,2.4398144166248774,5.263009049773756,0.029411764705882353,"['ATP20', 'ATP5', 'BFR2', 'ERG26', 'MIR1']"
YKL112W,ABF1,2,5583,2,1,1,0,0,0,0,"['MCK1', 'MRPS18']"
YKL185W,ASH1,22,269,2,0.4654083825900054,0.28679114391768967,0.09090909090909091,0.921001071479846,1.8867860763771545,0.006920415224913495,"['IGD1', 'NAF1']"
