,YBR033W,YDR034C,YEL009C,YIL036W,YJL056C,YJR060W,YKL038W,YLR403W,YLR451W,YMR182C,YNL199C,YOL108C,YOR344C,YPL075W,YPL248C
YGR267C,0.11470687335799999,1.59318172461,0.599008194718,0.00317081488236,0.0507926823327,0.0262504406067,0.00866147085064,0.300675970008,2.9829568101099997,0.0531789496754,0.0310026463446,1.14281319249,0.0813715600138,0.019320819785299998,0.0244571443283
YGR268C,0.0166259710386,0.058998970834400005,0.027613599364800002,3.98086850236e-06,0.35507046996299996,4.23998731963e-05,0.00015532926625,0.607393059748,0.00240301094149,0.0997168974341,0.010554843204700001,0.00567468906892,0.020045179037099996,0.0222871789927,0.05617135147749999
YGR269W,1.6456977494100002,2.26980390752,1.96523829186,0.08233560353130001,0.422133923636,0.0798996804467,0.0444305878215,0.993493155365,5.46551746215,0.077219069182,1.4709404007700002,1.6076647160100002,0.0813715600138,0.019320819785299998,0.156456291153
YGR270C-A,0.17928216264400001,0.305440778924,0.0500985235669,0.04678381280180001,0.43684771626100005,0.141906482927,0.050696858222699995,0.315400583459,0.046885201076600005,0.567906486897,0.15531518629899999,0.142420303028,0.265886297795,0.08019020918,1.29303642857
YGR270W,0.0846992843674,0.229590712608,0.0136807716907,0.0123811050618,0.28440179252500003,0.0127082427604,0.0207445799736,0.520886736476,0.121908036173,0.170961314727,0.06929407813630001,0.08429296064410001,0.0368222948567,0.0388884960283,0.113097193636
YGR271C-A,0.125573127202,0.421624925735,0.182661142307,0.175484925942,0.25332025215500004,0.104974694757,0.13091842339,0.100579166284,0.0198568001183,0.37598919730499997,0.361804742094,0.707248498179,0.5090530937919999,0.175144856678,0.308013220729
YGR271W,0.0189276282391,0.229590712608,0.045947850287699994,0.0019015310767500002,0.0836866469333,0.06102955815830001,0.0207445799736,0.056371797801900006,0.0626194971436,0.267555956609,0.06929407813630001,0.08429296064410001,0.611746056505,0.0388884960283,0.20033211074700003
YGR273C,0.408131730448,0.627332989448,1.44887282444,0.288307812734,0.525453893132,0.382894418116,0.414269143512,0.377136150493,1.8287686495599997,0.567906486897,0.392387027338,0.5261233358349999,1.15466195646,0.460023739818,0.520423762917
YGR274C,0.5287060699989999,0.47575663457500006,0.286054641881,0.277226063026,0.8451308866339999,0.154930371806,0.18482459020999997,0.149742422163,0.371294800902,0.170961314727,0.49179418122199997,0.31570080114599997,0.647973508556,0.233534977646,0.113097193636
YGR275W,0.5287060699989999,0.47575663457500006,0.286054641881,0.277226063026,0.8451308866339999,0.154930371806,0.18482459020999997,0.149742422163,0.371294800902,0.170961314727,0.49179418122199997,0.31570080114599997,0.647973508556,0.233534977646,0.113097193636
